Country Name,Country Code,Series Name,Series Code,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
El Salvador,SLV,Forest area (sq. km),AG.LND.FRST.K2,6468.8,6423.8,6378.8,6333.8,6288.8,6243.8,6198.8,6153.8,6108.8,6063.8,6018.8,5973.8,5928.8,..,..
Equatorial Guinea,GNQ,CO2 emissions (kt),EN.ATM.CO2E.KT,9160,7550,8980,9660,9520,9710,10010,9350,8090,7140,5600,5630,6670,..,..
Equatorial Guinea,GNQ,Forest area (sq. km),AG.LND.FRST.K2,25654.38,25570.81,25487.24,25403.67,25320.1,25236.52,25152.94,25069.36,24985.78,24902.2,24818.6,24735,24651.4,..,..
Eritrea,ERI,CO2 emissions (kt),EN.ATM.CO2E.KT,520,510,450,470,500,580,630,650,680,650,660,720,800,..,..
Eritrea,ERI,Forest area (sq. km),AG.LND.FRST.K2,10995,10963.4,10931.8,10900.2,10868.6,10837,10805.4,10773.8,10742.2,10710.6,10679,10647.4,10615.8,..,..
Estonia,EST,CO2 emissions (kt),EN.ATM.CO2E.KT,15890,19850,18290,14960,18880,18050,16780,19190,17820,15370,15650,16280,16000,..,..
Estonia,EST,Forest area (sq. km),AG.LND.FRST.K2,22971.68,23068.81,23165.94,23263.07,23360.2,23530.18,23700.16,23870.14,24040.12,24210.1,24212.5,24384,24384,..,..
Eswatini,SWZ,CO2 emissions (kt),EN.ATM.CO2E.KT,1010,1040,1020,1070,1010,1020,1060,1550,960,1030,1230,1040,1090,..,..
Eswatini,SWZ,Forest area (sq. km),AG.LND.FRST.K2,4805.7,4817.85,4830,4842.15,4854.3,4866.44,4878.58,4890.72,4902.86,4915,4927.2,4939.3,4951.4,..,..
Ethiopia,ETH,CO2 emissions (kt),EN.ATM.CO2E.KT,5400,6070,6880,6930,6470,7540,8460,10280,12330,12880,14950,15460,16280,..,..
Ethiopia,ETH,Forest area (sq. km),AG.LND.FRST.K2,180905,180175,179445,178715,177985,177255,176525,175795,175065,174335,173605,172875,172145,..,..
